ID;DruhVozidla;CasProfil1;CasProfil2;CasovyRozdil [s];Profil1;Profil2
2347;OA;8:52:14;8:53:25;71;B1;D2
1887;OA;8:44:38;8:46:06;88;B1;D2
1560;OA;8:39:39;8:40:54;75;B1;D2
3218;OA;9:07:02;9:08:00;58;B1;D2
882;DOD;8:27:54;8:28:53;59;B1;D2
2658;OA;8:57:36;8:58:20;44;B1;D2
1433;OA;8:37:08;8:38:08;60;B1;D2
2297;LNV;8:51:11;8:52:02;51;B1;D2
3254;OA;9:07:34;9:08:31;57;B1;D2
989;DOD;8:29:51;8:30:46;55;B1;D2
3137;OA;9:05:29;9:06:17;48;B1;D2
1243;OA;8:33:48;8:35:35;107;B1;D2
87;OA;8:11:46;8:12:38;52;B1;D2
3241;OA;9:07:22;9:08:23;61;B1;D2
118;OA;8:12:26;8:13:04;38;B1;D2
1936;OA;8:45:25;8:46:21;56;B1;D2
2482;DOD;8:54:24;8:55:31;67;B1;D2
3233;DOD;9:07:14;9:08:14;60;B1;D2
2556;DOD;8:55:46;8:56:40;54;B1;D2
3142;DOD;9:05:32;9:06:20;48;B1;D2
933;OA;8:28:54;8:30:05;71;B1;D2
595;OA;8:23:06;8:24:05;59;B1;D2
2771;OA;8:59:33;9:00:18;45;B1;D2
1043;DOD;8:30:42;8:31:35;53;B1;D2
3128;OA;9:05:17;9:06:07;50;B1;D2
1896;OA;8:44:48;8:46:08;80;B1;D2
3031;OA;9:03:40;9:04:24;44;B1;D2
2551;OA;8:55:42;8:56:34;52;B1;D2
1422;OA;8:36:52;8:37:55;63;B1;D2
358;BUS;8:18:09;8:20:21;132;B1;D2
1001;OA;8:30:06;8:31:09;63;B1;D2
248;OA;8:15:28;8:16:09;41;B1;D2
2405;OA;8:53:15;8:54:05;50;B1;D2
2045;OA;8:46:57;8:47:44;47;B1;D2
2534;OA;8:55:20;8:56:16;56;B1;D2
2691;OA;8:58:15;8:59:01;46;B1;D2
1631;OA;8:41:06;8:41:56;50;B1;D2
1583;OA;8:40:11;8:41:26;75;B1;D2
3015;OA;9:03:20;9:04:12;52;B1;D2
2018;OA;8:46:34;8:47:15;41;B1;D2
2140;OA;8:48:38;8:49:40;62;B1;D2
191;OA;8:14:14;8:15:01;47;B1;D2
1219;OA;8:33:26;8:34:48;82;B1;D2
658;OA;8:24:11;8:25:04;53;B1;D2
2559;DOD;8:55:47;8:56:42;55;B1;D2
2581;DOD;8:56:12;8:57:01;49;B1;D2
1198;OA;8:33:09;8:34:13;64;B1;D2
2900;OA;9:01:41;9:02:30;49;B1;D2
376;OA;8:18:31;8:20:25;114;B1;D2
1724;OA;8:42:28;8:44:09;101;B1;D2
390;OA;8:18:50;8:20:27;97;B1;D2
2813;OA;9:00:13;9:01:04;51;B1;D2
2576;OA;8:56:05;8:56:50;45;B1;D2
574;DOD;8:22:41;8:23:23;42;B1;D2
2930;OA;9:02:11;9:03:03;52;B1;D2
1185;OA;8:32:56;8:33:56;60;B1;D2
1590;OA;8:40:19;8:41:32;73;B1;D2
1771;OA;8:43:02;8:45:03;121;B1;D2
2817;OA;9:00:15;9:01:07;52;B1;D2
2858;LNV;9:00:54;9:01:44;50;B1;D2
2668;DOD;8:57:45;8:58:28;43;B1;D2
1313;OA;8:34:51;8:36:11;80;B1;D2
2207;OA;8:49:39;8:50:29;50;B1;D2
1181;OA;8:32:54;8:33:53;59;B1;D2
2117;DOD;8:48:17;8:49:06;49;B1;D2
1732;DOD;8:42:35;8:44:20;105;B1;D2
2460;DOD;8:54:06;8:55:07;61;B1;D2
2805;OA;9:00:03;9:00:46;43;B1;D2
2429;OA;8:53:41;8:54:26;45;B1;D2
1057;OA;8:30:55;8:32:01;66;B1;D2
1680;OA;8:41:50;8:42:37;47;B1;D2
3256;OA;9:07:36;9:08:33;57;B1;D2
756;OA;8:25:49;8:26:36;47;B1;D2
1460;OA;8:37:44;8:39:07;83;B1;D2
372;OA;8:18:27;8:19:45;78;B1;D2
3099;DOD;9:04:41;9:05:23;42;B1;D2
1580;DOD;8:40:09;8:41:24;75;B1;D2
622;OA;8:23:33;8:24:23;50;B1;D2
2766;OA;8:59:27;9:00:16;49;B1;D2
2785;OA;8:59:43;9:00:27;44;B1;D2
3036;OA;9:03:42;9:04:27;45;B1;D2
914;DOD;8:28:36;8:29:58;82;B1;D2
1469;OA;8:37:57;8:38:54;57;B1;D2
2689;OA;8:58:12;8:58:58;46;B1;D2
2472;OA;8:54:16;8:55:24;68;B1;D2
2903;OA;9:01:43;9:02:31;48;B1;D2
1743;OA;8:42:41;8:44:23;102;B1;D2
50;LNV;8:11:09;8:11:51;42;B1;D2
1182;OA;8:32:54;8:33:54;60;B1;D2
192;OA;8:14:16;8:15:03;47;B1;D2
3198;OA;9:06:38;9:07:25;47;B1;D2
2687;OA;8:58:08;8:58:51;43;B1;D2
